subtitle_index,start_time,end_time,start_seconds,end_seconds,frame_count,diff_time_ms,timestamp,iso,shutter,fnum,ev,color_md,focal_len,latitude,longitude,rel_alt,abs_alt,ct
1,"00:00:00,000","00:00:00,033",0.0,0.033,1,33,2024-06-19 11:01:31.198,110.0,1/3000.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5146.0
2,"00:00:00,033","00:00:00,066",0.033,0.066,2,33,2024-06-19 11:01:31.235,110.0,1/3000.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5146.0
3,"00:00:00,066","00:00:00,100",0.066,0.1,3,34,2024-06-19 11:01:31.268,110.0,1/3000.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
4,"00:00:00,100","00:00:00,133",0.1,0.133,4,33,2024-06-19 11:01:31.298,100.0,1/3000.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
5,"00:00:00,133","00:00:00,166",0.133,0.166,5,33,2024-06-19 11:01:31.335,110.0,1/3000.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
6,"00:00:00,166","00:00:00,200",0.166,0.2,6,34,2024-06-19 11:01:31.369,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
7,"00:00:00,200","00:00:00,233",0.2,0.233,7,33,2024-06-19 11:01:31.398,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
8,"00:00:00,233","00:00:00,266",0.233,0.266,8,33,2024-06-19 11:01:31.435,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
9,"00:00:00,266","00:00:00,300",0.266,0.3,9,34,2024-06-19 11:01:31.469,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
10,"00:00:00,300","00:00:00,333",0.3,0.333,10,33,2024-06-19 11:01:31.499,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
11,"00:00:00,333","00:00:00,366",0.333,0.366,11,33,2024-06-19 11:01:31.532,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
12,"00:00:00,366","00:00:00,400",0.366,0.4,12,34,2024-06-19 11:01:31.565,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
13,"00:00:00,400","00:00:00,433",0.4,0.433,13,33,2024-06-19 11:01:31.599,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
14,"00:00:00,433","00:00:00,467",0.433,0.467,14,34,2024-06-19 11:01:31.632,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5147.0
15,"00:00:00,467","00:00:00,500",0.467,0.5,15,33,2024-06-19 11:01:31.669,100.0,1/2500.0,170.0,0.0,default,240.0,0.0,0.0,0.0,685.041,5148.0
