frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1,2024-06-19 11:15:22.444,0.0,32.103364,35.205134,0.0,0.0,117.4,10.28827668562559,trajectory,60.0,fixed,67.7809216028621,12.105733481078113,66.69111297780569,32.10396309646103,35.205262377813085
2,2024-06-19 11:15:22.478,0.033,32.103364,35.205134,0.0,0.0,117.4,10.28827668562559,trajectory,60.0,fixed,67.7809216028621,12.105733481078113,66.69111297780569,32.10396309646103,35.205262377813085
3,2024-06-19 11:15:22.511,0.066,32.103364,35.205134,0.0,0.0,117.4,10.28827668562559,trajectory,60.0,fixed,67.7809216028621,12.105733481078113,66.69111297780569,32.10396309646103,35.205262377813085
4,2024-06-19 11:15:22.545,0.1,32.103372,35.205136,0.18859541535432778,0.8905559263268724,117.4,10.434129903421706,trajectory,60.0,fixed,67.7809216028621,12.464059645460885,67.55063626882804,32.103970817690126,35.20526617775874
5,2024-06-19 11:15:22.578,0.133,32.103372,35.205136,0.18859541535432778,0.8905559263268724,117.4,10.434129903421706,trajectory,60.0,fixed,67.7809216028621,12.464059645460885,67.55063626882804,32.103970817690126,35.20526617775874
6,2024-06-19 11:15:22.612,0.166,32.103372,35.205136,0.18859541535432778,0.8905559263268724,117.4,10.434129903421706,trajectory,60.0,fixed,67.7809216028621,12.464059645460885,67.55063626882804,32.103970817690126,35.20526617775874
7,2024-06-19 11:15:22.645,0.2,32.10338,35.205138,0.37719083010881754,1.7811118526537448,117.4,9.98893005504425,trajectory,60.0,fixed,67.7809216028621,12.134327333590475,68.53456176029401,32.1039796564432,35.20526268104265
8,2024-06-19 11:15:22.678,0.233,32.10338,35.205138,0.37719083010881754,1.7811118526537448,117.4,9.98893005504425,trajectory,60.0,fixed,67.7809216028621,12.134327333590475,68.53456176029401,32.1039796564432,35.20526268104265
9,2024-06-19 11:15:22.712,0.266,32.10338,35.205138,0.37719083010881754,1.7811118526537448,117.4,9.98893005504425,trajectory,60.0,fixed,67.7809216028621,12.134327333590475,68.53456176029401,32.1039796564432,35.20526268104265
10,2024-06-19 11:15:22.745,0.3,32.103388,35.20514,0.5657862454631454,2.671667778980617,117.4,10.134248625427176,trajectory,60.0,fixed,67.7809216028621,12.492190693811276,69.39508353587783,32.103987386641826,35.205266476080396
