query_dataset,query_frame_count,query_frame_path,reference_dataset,reference_frame_count,reference_frame_path,similarity,top_k,oracle_top_k_error_m,query_ground_latitude,query_ground_longitude,estimated_ground_latitude,estimated_ground_longitude,position_error_m
0010_0011,1,data\processed\frames_0010_0011_1fps\frame_000001.jpg,0007_scale30,2609,data\processed\frames_0007_1fps_scale30\frame_000088_scale30m_r0.255.jpg,0.5394093990325928,10,4877739.070655924,0.0,0.0,32.103553480644855,35.20453634318042,4877739.070655924
0010_0011,2,data\processed\frames_0010_0011_1fps\frame_000002.jpg,0007_scale30,2609,data\processed\frames_0007_1fps_scale30\frame_000088_scale30m_r0.255.jpg,0.5363869667053223,10,4877739.070655924,0.0,0.0,32.103553480644855,35.20453634318042,4877739.070655924
0010_0011,3,data\processed\frames_0010_0011_1fps\frame_000003.jpg,0007_scale30,2609,data\processed\frames_0007_1fps_scale30\frame_000088_scale30m_r0.255.jpg,0.5329112410545349,10,4877739.070655924,0.0,0.0,32.103553480644855,35.20453634318042,4877739.070655924
0010_0011,4,data\processed\frames_0010_0011_1fps\frame_000004.jpg,0007_scale30,2609,data\processed\frames_0007_1fps_scale30\frame_000088_scale30m_r0.255.jpg,0.5351003408432007,10,4877739.070655924,0.0,0.0,32.103553480644855,35.20453634318042,4877739.070655924
0010_0011,5,data\processed\frames_0010_0011_1fps\frame_000005.jpg,0006_scale30,23590,data\processed\frames_0006_1fps_scale30\frame_000788_scale30m_r0.255.jpg,0.5563375949859619,10,4877739.070655924,0.0,0.0,32.10504864473539,35.20590723818089,4877948.998205285
0010_0011,6,data\processed\frames_0010_0011_1fps\frame_000006.jpg,0006_scale30,23590,data\processed\frames_0006_1fps_scale30\frame_000788_scale30m_r0.255.jpg,0.6313310861587524,10,4877739.070655924,0.0,0.0,32.10504864473539,35.20590723818089,4877948.998205285
0010_0011,7,data\processed\frames_0010_0011_1fps\frame_000007.jpg,0006_scale30,23590,data\processed\frames_0006_1fps_scale30\frame_000788_scale30m_r0.255.jpg,0.6800346374511719,10,4877739.070655924,0.0,0.0,32.10504864473539,35.20590723818089,4877948.998205285
0010_0011,8,data\processed\frames_0010_0011_1fps\frame_000008.jpg,0006_scale30,23590,data\processed\frames_0006_1fps_scale30\frame_000788_scale30m_r0.255.jpg,0.6546628475189209,10,4877783.535163588,0.0,0.0,32.10504864473539,35.20590723818089,4877948.998205285
0010_0011,9,data\processed\frames_0010_0011_1fps\frame_000009.jpg,0006_scale30,23680,data\processed\frames_0006_1fps_scale30\frame_000791_scale30m_r0.255.jpg,0.7095507383346558,10,4877854.9155925065,0.0,0.0,32.10479539417199,35.20580006106106,4877921.464602642
0010_0011,10,data\processed\frames_0010_0011_1fps\frame_000010.jpg,0006_scale30,20593,data\processed\frames_0006_1fps_scale30\frame_000688_scale30m_r0.250.jpg,0.65889972448349,10,4877739.070655924,0.0,0.0,32.10307171716126,35.20667241317723,4877836.87131743
0010_0011,11,data\processed\frames_0010_0011_1fps\frame_000011.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.6968036890029907,10,4877820.040647849,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,12,data\processed\frames_0010_0011_1fps\frame_000012.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.6844793558120728,10,4877820.040647849,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,13,data\processed\frames_0010_0011_1fps\frame_000013.jpg,0006_scale30,6145,data\processed\frames_0006_1fps_scale30\frame_000206_scale30m_r0.250.jpg,0.6176431179046631,10,4877820.040647849,0.0,0.0,32.10184757527966,35.21015514682913,4877960.571000127
0010_0011,14,data\processed\frames_0010_0011_1fps\frame_000014.jpg,0006_scale30,18644,data\processed\frames_0006_1fps_scale30\frame_000623_scale30m_r0.250.jpg,0.6001487970352173,10,4877820.040647849,0.0,0.0,32.10673935860065,35.210604417440166,4878388.353932697
0010_0011,15,data\processed\frames_0010_0011_1fps\frame_000015.jpg,0006_scale30,6086,data\processed\frames_0006_1fps_scale30\frame_000204_scale30m_r0.250.jpg,0.5991466641426086,10,4877820.040647849,0.0,0.0,32.10138540436856,35.20978300410049,4877898.993792048
0010_0011,16,data\processed\frames_0010_0011_1fps\frame_000016.jpg,0006_scale30,6086,data\processed\frames_0006_1fps_scale30\frame_000204_scale30m_r0.250.jpg,0.6533551216125488,10,4877820.040647849,0.0,0.0,32.10138540436856,35.20978300410049,4877898.993792048
0010_0011,17,data\processed\frames_0010_0011_1fps\frame_000017.jpg,0006_scale30,6086,data\processed\frames_0006_1fps_scale30\frame_000204_scale30m_r0.250.jpg,0.6064592599868774,10,4877820.040647849,0.0,0.0,32.10138540436856,35.20978300410049,4877898.993792048
0010_0011,18,data\processed\frames_0010_0011_1fps\frame_000018.jpg,0006_scale30,6086,data\processed\frames_0006_1fps_scale30\frame_000204_scale30m_r0.250.jpg,0.6094016432762146,10,4877851.480276228,0.0,0.0,32.10138540436856,35.20978300410049,4877898.993792048
0010_0011,19,data\processed\frames_0010_0011_1fps\frame_000019.jpg,0006_scale30,6086,data\processed\frames_0006_1fps_scale30\frame_000204_scale30m_r0.250.jpg,0.5978267788887024,10,4877820.040647849,0.0,0.0,32.10138540436856,35.20978300410049,4877898.993792048
0010_0011,20,data\processed\frames_0010_0011_1fps\frame_000020.jpg,0006_scale30,6086,data\processed\frames_0006_1fps_scale30\frame_000204_scale30m_r0.250.jpg,0.623318076133728,10,4877820.040647849,0.0,0.0,32.10138540436856,35.20978300410049,4877898.993792048
0010_0011,21,data\processed\frames_0010_0011_1fps\frame_000021.jpg,0006_scale30,18644,data\processed\frames_0006_1fps_scale30\frame_000623_scale30m_r0.250.jpg,0.6260941028594971,10,4877820.040647849,0.0,0.0,32.10673935860065,35.210604417440166,4878388.353932697
0010_0011,22,data\processed\frames_0010_0011_1fps\frame_000022.jpg,0006_scale30,6086,data\processed\frames_0006_1fps_scale30\frame_000204_scale30m_r0.250.jpg,0.6151700019836426,10,4877820.040647849,0.0,0.0,32.10138540436856,35.20978300410049,4877898.993792048
0010_0011,23,data\processed\frames_0010_0011_1fps\frame_000023.jpg,0006_scale30,6086,data\processed\frames_0006_1fps_scale30\frame_000204_scale30m_r0.250.jpg,0.6014910936355591,10,4877820.040647849,0.0,0.0,32.10138540436856,35.20978300410049,4877898.993792048
0010_0011,24,data\processed\frames_0010_0011_1fps\frame_000024.jpg,0006_scale30,18644,data\processed\frames_0006_1fps_scale30\frame_000623_scale30m_r0.250.jpg,0.6115460991859436,10,4877947.574305701,0.0,0.0,32.10673935860065,35.210604417440166,4878388.353932697
0010_0011,25,data\processed\frames_0010_0011_1fps\frame_000025.jpg,0008_scale30,12500,data\processed\frames_0008_1fps_scale30\frame_000418_scale30m_r0.251.jpg,0.6344648599624634,10,4877820.040647849,0.0,0.0,32.10364545527421,35.2117726607254,4878211.013108212
0010_0011,26,data\processed\frames_0010_0011_1fps\frame_000026.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.6785032749176025,10,4877820.040647849,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,27,data\processed\frames_0010_0011_1fps\frame_000027.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.701654851436615,10,4877820.040647849,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,28,data\processed\frames_0010_0011_1fps\frame_000028.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.7383625507354736,10,4877820.040647849,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,29,data\processed\frames_0010_0011_1fps\frame_000029.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.7531160116195679,10,4877988.238591844,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,30,data\processed\frames_0010_0011_1fps\frame_000030.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.7685642242431641,10,4878211.013108212,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,31,data\processed\frames_0010_0011_1fps\frame_000031.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.7779005765914917,10,4878211.013108212,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,32,data\processed\frames_0010_0011_1fps\frame_000032.jpg,0008_scale30,12530,data\processed\frames_0008_1fps_scale30\frame_000419_scale30m_r0.251.jpg,0.7768489122390747,10,4877947.574305701,0.0,0.0,32.10366221680459,35.211878028683365,4878219.143147646
0010_0011,33,data\processed\frames_0010_0011_1fps\frame_000033.jpg,0008_scale30,12560,data\processed\frames_0008_1fps_scale30\frame_000420_scale30m_r0.251.jpg,0.7695184946060181,10,4878211.013108212,0.0,0.0,32.10367521680459,35.21198302868336,4878226.942816129
0010_0011,34,data\processed\frames_0010_0011_1fps\frame_000034.jpg,0008_scale30,12560,data\processed\frames_0008_1fps_scale30\frame_000420_scale30m_r0.251.jpg,0.7754254341125488,10,4878211.013108212,0.0,0.0,32.10367521680459,35.21198302868336,4878226.942816129
0010_0011,35,data\processed\frames_0010_0011_1fps\frame_000035.jpg,0008_scale30,12560,data\processed\frames_0008_1fps_scale30\frame_000420_scale30m_r0.251.jpg,0.7769815921783447,10,4878211.013108212,0.0,0.0,32.10367521680459,35.21198302868336,4878226.942816129
0010_0011,36,data\processed\frames_0010_0011_1fps\frame_000036.jpg,0008_scale30,12560,data\processed\frames_0008_1fps_scale30\frame_000420_scale30m_r0.251.jpg,0.7834471464157104,10,4877907.042822826,0.0,0.0,32.10367521680459,35.21198302868336,4878226.942816129
0010_0011,37,data\processed\frames_0010_0011_1fps\frame_000037.jpg,0008_scale30,12560,data\processed\frames_0008_1fps_scale30\frame_000420_scale30m_r0.251.jpg,0.7865978479385376,10,4878211.013108212,0.0,0.0,32.10367521680459,35.21198302868336,4878226.942816129
0010_0011,38,data\processed\frames_0010_0011_1fps\frame_000038.jpg,0008_scale30,12560,data\processed\frames_0008_1fps_scale30\frame_000420_scale30m_r0.251.jpg,0.7895995378494263,10,4878211.013108212,0.0,0.0,32.10367521680459,35.21198302868336,4878226.942816129
0010_0011,39,data\processed\frames_0010_0011_1fps\frame_000039.jpg,0008_scale30,12560,data\processed\frames_0008_1fps_scale30\frame_000420_scale30m_r0.251.jpg,0.796612024307251,10,4877839.993712439,0.0,0.0,32.10367521680459,35.21198302868336,4878226.942816129
0010_0011,40,data\processed\frames_0010_0011_1fps\frame_000040.jpg,0008_scale30,12560,data\processed\frames_0008_1fps_scale30\frame_000420_scale30m_r0.251.jpg,0.7663663625717163,10,4877839.993712439,0.0,0.0,32.10367521680459,35.21198302868336,4878226.942816129
