query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,motion_viterbi_reference_dataset,motion_viterbi_reference_frame_count,motion_viterbi_reference_frame_path,motion_viterbi_rank,motion_viterbi_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,motion_viterbi_position_error_m
0010_0011,1,data\processed\frames_0010_0011_1fps\frame_000001.jpg,0007_scale30,2609,4877739.070655924,0007_scale30,2579,data\processed\frames_0007_1fps_scale30\frame_000087_scale30m_r0.255.jpg,2,0.5302296280860901,20,5,0.25,4877748.266883038
0010_0011,2,data\processed\frames_0010_0011_1fps\frame_000002.jpg,0007_scale30,2609,4877739.070655924,0007_scale30,2609,data\processed\frames_0007_1fps_scale30\frame_000088_scale30m_r0.255.jpg,1,0.5363869667053223,18,6,0.3333333333333333,4877739.070655924
0010_0011,3,data\processed\frames_0010_0011_1fps\frame_000003.jpg,0007_scale30,2609,4877739.070655924,0007_scale30,2609,data\processed\frames_0007_1fps_scale30\frame_000088_scale30m_r0.255.jpg,1,0.5329112410545349,16,5,0.3125,4877739.070655924
0010_0011,4,data\processed\frames_0010_0011_1fps\frame_000004.jpg,0007_scale30,2609,4877739.070655924,0007_scale30,2609,data\processed\frames_0007_1fps_scale30\frame_000088_scale30m_r0.255.jpg,1,0.5351003408432007,18,5,0.2777777777777778,4877739.070655924
0010_0011,5,data\processed\frames_0010_0011_1fps\frame_000005.jpg,0006_scale30,23590,4877948.998205285,0007_scale30,2549,data\processed\frames_0007_1fps_scale30\frame_000086_scale30m_r0.255.jpg,4,0.5501545667648315,17,4,0.23529411764705882,4877757.407283216
0010_0011,6,data\processed\frames_0010_0011_1fps\frame_000006.jpg,0006_scale30,23590,4877948.998205285,0007_scale30,2189,data\processed\frames_0007_1fps_scale30\frame_000074_scale30m_r0.255.jpg,2,0.6179326772689819,34,5,0.14705882352941177,4877863.328764637
0010_0011,7,data\processed\frames_0010_0011_1fps\frame_000007.jpg,0006_scale30,23590,4877948.998205285,0006_scale30,23680,data\processed\frames_0006_1fps_scale30\frame_000791_scale30m_r0.255.jpg,2,0.6778415441513062,38,7,0.18421052631578946,4877921.464602642
0010_0011,8,data\processed\frames_0010_0011_1fps\frame_000008.jpg,0006_scale30,23590,4877948.998205285,0006_scale30,23650,data\processed\frames_0006_1fps_scale30\frame_000790_scale30m_r0.255.jpg,4,0.6474305391311646,48,8,0.16666666666666666,4877930.657608654
0010_0011,9,data\processed\frames_0010_0011_1fps\frame_000009.jpg,0006_scale30,23680,4877921.464602642,0006_scale30,23680,data\processed\frames_0006_1fps_scale30\frame_000791_scale30m_r0.255.jpg,1,0.7095507383346558,28,5,0.17857142857142858,4877921.464602642
0010_0011,10,data\processed\frames_0010_0011_1fps\frame_000010.jpg,0006_scale30,20593,4877836.87131743,0006_scale30,20563,data\processed\frames_0006_1fps_scale30\frame_000687_scale30m_r0.250.jpg,2,0.6508131623268127,36,5,0.1388888888888889,4877839.993712439
