query_dataset,query_frame_count,query_frame_path,dino_reference_dataset,dino_reference_frame_count,dino_position_error_m,temporal_reference_dataset,temporal_reference_frame_count,temporal_reference_frame_path,temporal_rank,temporal_dino_similarity,lg_match_count,lg_inlier_count,lg_inlier_ratio,temporal_position_error_m
0010_0011,1,data\processed\frames_0010_0011_1fps\frame_000001.jpg,0007_scale30,2609,4877739.070655924,0006_scale30,23590,data\processed\frames_0006_1fps_scale30\frame_000788_scale30m_r0.255.jpg,7,0.5024385452270508,24,5,0.20833333333333334,4877948.998205285
0010_0011,2,data\processed\frames_0010_0011_1fps\frame_000002.jpg,0007_scale30,2609,4877739.070655924,0006_scale30,23590,data\processed\frames_0006_1fps_scale30\frame_000788_scale30m_r0.255.jpg,7,0.5045332312583923,17,4,0.23529411764705882,4877948.998205285
0010_0011,3,data\processed\frames_0010_0011_1fps\frame_000003.jpg,0007_scale30,2609,4877739.070655924,0006_scale30,23590,data\processed\frames_0006_1fps_scale30\frame_000788_scale30m_r0.255.jpg,7,0.4962254464626312,19,5,0.2631578947368421,4877948.998205285
0010_0011,4,data\processed\frames_0010_0011_1fps\frame_000004.jpg,0007_scale30,2609,4877739.070655924,0006_scale30,23590,data\processed\frames_0006_1fps_scale30\frame_000788_scale30m_r0.255.jpg,6,0.49800387024879456,8,4,0.5,4877948.998205285
0010_0011,5,data\processed\frames_0010_0011_1fps\frame_000005.jpg,0006_scale30,23590,4877948.998205285,0006_scale30,23650,data\processed\frames_0006_1fps_scale30\frame_000790_scale30m_r0.255.jpg,7,0.5294969081878662,48,7,0.14583333333333334,4877930.657608654
0010_0011,6,data\processed\frames_0010_0011_1fps\frame_000006.jpg,0006_scale30,23590,4877948.998205285,0006_scale30,23650,data\processed\frames_0006_1fps_scale30\frame_000790_scale30m_r0.255.jpg,3,0.6114208698272705,49,7,0.14285714285714285,4877930.657608654
0010_0011,7,data\processed\frames_0010_0011_1fps\frame_000007.jpg,0006_scale30,23590,4877948.998205285,0006_scale30,23650,data\processed\frames_0006_1fps_scale30\frame_000790_scale30m_r0.255.jpg,4,0.6748819351196289,37,8,0.21621621621621623,4877930.657608654
0010_0011,8,data\processed\frames_0010_0011_1fps\frame_000008.jpg,0006_scale30,23590,4877948.998205285,0006_scale30,23650,data\processed\frames_0006_1fps_scale30\frame_000790_scale30m_r0.255.jpg,4,0.6474305391311646,48,8,0.16666666666666666,4877930.657608654
0010_0011,9,data\processed\frames_0010_0011_1fps\frame_000009.jpg,0006_scale30,23680,4877921.464602642,0006_scale30,23710,data\processed\frames_0006_1fps_scale30\frame_000792_scale30m_r0.255.jpg,7,0.6947420835494995,22,5,0.22727272727272727,4877912.2901275745
0010_0011,10,data\processed\frames_0010_0011_1fps\frame_000010.jpg,0006_scale30,20593,4877836.87131743,0006_scale30,20563,data\processed\frames_0006_1fps_scale30\frame_000687_scale30m_r0.250.jpg,2,0.6508131623268127,36,5,0.1388888888888889,4877839.993712439
0010_0011,11,data\processed\frames_0010_0011_1fps\frame_000011.jpg,0008_scale30,12530,4878219.143147646,0006_scale30,15917,data\processed\frames_0006_1fps_scale30\frame_000532_scale30m_r0.250.jpg,3,0.652529776096344,13,5,0.38461538461538464,4877820.040647849
0010_0011,12,data\processed\frames_0010_0011_1fps\frame_000012.jpg,0008_scale30,12530,4878219.143147646,0006_scale30,15917,data\processed\frames_0006_1fps_scale30\frame_000532_scale30m_r0.250.jpg,4,0.6365796327590942,12,4,0.3333333333333333,4877820.040647849
0010_0011,13,data\processed\frames_0010_0011_1fps\frame_000013.jpg,0006_scale30,6145,4877960.571000127,0006_scale30,15917,data\processed\frames_0006_1fps_scale30\frame_000532_scale30m_r0.250.jpg,8,0.567103922367096,9,4,0.4444444444444444,4877820.040647849
0010_0011,14,data\processed\frames_0010_0011_1fps\frame_000014.jpg,0006_scale30,18644,4878388.353932697,0006_scale30,15917,data\processed\frames_0006_1fps_scale30\frame_000532_scale30m_r0.250.jpg,7,0.5764737129211426,20,5,0.25,4877820.040647849
0010_0011,15,data\processed\frames_0010_0011_1fps\frame_000015.jpg,0006_scale30,6086,4877898.993792048,0006_scale30,15917,data\processed\frames_0006_1fps_scale30\frame_000532_scale30m_r0.250.jpg,7,0.5725986957550049,21,5,0.23809523809523808,4877820.040647849
