query_dataset,query_frame_count,query_frame_path,reference_dataset,reference_frame_count,reference_frame_path,similarity,top_k,oracle_top_k_error_m,query_ground_latitude,query_ground_longitude,estimated_ground_latitude,estimated_ground_longitude,position_error_m
0010_0011,1,data\processed\frames_0010_0011_1fps\frame_000001.jpg,0008,12590,data\processed\frames_0008_1fps\frame_000421.jpg,0.4558674991130829,10,4878234.540486184,0.0,0.0,32.103684455274234,35.212089660725404,4878234.540486184
0010_0011,2,data\processed\frames_0010_0011_1fps\frame_000002.jpg,0008,12590,data\processed\frames_0008_1fps\frame_000421.jpg,0.4539605975151062,10,4878234.540486184,0.0,0.0,32.103684455274234,35.212089660725404,4878234.540486184
0010_0011,3,data\processed\frames_0010_0011_1fps\frame_000003.jpg,0008,12590,data\processed\frames_0008_1fps\frame_000421.jpg,0.4531877040863037,10,4878234.540486184,0.0,0.0,32.103684455274234,35.212089660725404,4878234.540486184
0010_0011,4,data\processed\frames_0010_0011_1fps\frame_000004.jpg,0008,12590,data\processed\frames_0008_1fps\frame_000421.jpg,0.4466913640499115,10,4878234.540486184,0.0,0.0,32.103684455274234,35.212089660725404,4878234.540486184
0010_0011,5,data\processed\frames_0010_0011_1fps\frame_000005.jpg,0008,241,data\processed\frames_0008_1fps\frame_000009.jpg,0.5023649334907532,10,4877922.299213298,0.0,0.0,32.102598500658004,35.20967639215213,4877991.081961137
0010_0011,6,data\processed\frames_0010_0011_1fps\frame_000006.jpg,0008,211,data\processed\frames_0008_1fps\frame_000008.jpg,0.5559346079826355,10,4877891.679296015,0.0,0.0,32.10261263806261,35.209660459218625,4877991.212265367
0010_0011,7,data\processed\frames_0010_0011_1fps\frame_000007.jpg,0008,271,data\processed\frames_0008_1fps\frame_000010.jpg,0.5987740755081177,10,4877883.0398475975,0.0,0.0,32.10257782169856,35.20969417830143,4877990.537120577
0010_0011,8,data\processed\frames_0010_0011_1fps\frame_000008.jpg,0008,271,data\processed\frames_0008_1fps\frame_000010.jpg,0.6243752241134644,10,4877883.0398475975,0.0,0.0,32.10257782169856,35.20969417830143,4877990.537120577
0010_0011,9,data\processed\frames_0010_0011_1fps\frame_000009.jpg,0007,1949,data\processed\frames_0007_1fps\frame_000066.jpg,0.6234441995620728,10,4877855.523983614,0.0,0.0,32.10546876086818,35.205086526543134,4877930.591945335
0010_0011,10,data\processed\frames_0010_0011_1fps\frame_000010.jpg,0008,12590,data\processed\frames_0008_1fps\frame_000421.jpg,0.6082450151443481,10,4878211.013108212,0.0,0.0,32.103684455274234,35.212089660725404,4878234.540486184
0010_0011,11,data\processed\frames_0010_0011_1fps\frame_000011.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.5749914050102234,10,4878226.942816129,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,12,data\processed\frames_0010_0011_1fps\frame_000012.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.5544074773788452,10,4878226.942816129,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,13,data\processed\frames_0010_0011_1fps\frame_000013.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.47617214918136597,10,4878234.540486184,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,14,data\processed\frames_0010_0011_1fps\frame_000014.jpg,0006,18464,data\processed\frames_0006_1fps\frame_000617.jpg,0.499778151512146,10,4878250.133328845,0.0,0.0,32.10746959314667,35.211538814071986,4878507.880358704
0010_0011,15,data\processed\frames_0010_0011_1fps\frame_000015.jpg,0006,8214,data\processed\frames_0006_1fps\frame_000275.jpg,0.503005862236023,10,4878469.681354831,0.0,0.0,32.10553810815075,35.21382975759881,4878497.399074631
0010_0011,16,data\processed\frames_0010_0011_1fps\frame_000016.jpg,0006,8214,data\processed\frames_0006_1fps\frame_000275.jpg,0.5336145162582397,10,4878469.681354831,0.0,0.0,32.10553810815075,35.21382975759881,4878497.399074631
0010_0011,17,data\processed\frames_0010_0011_1fps\frame_000017.jpg,0006,18464,data\processed\frames_0006_1fps\frame_000617.jpg,0.5047155618667603,10,4878250.133328845,0.0,0.0,32.10746959314667,35.211538814071986,4878507.880358704
0010_0011,18,data\processed\frames_0010_0011_1fps\frame_000018.jpg,0006,8214,data\processed\frames_0006_1fps\frame_000275.jpg,0.5089948773384094,10,4878467.754088197,0.0,0.0,32.10553810815075,35.21382975759881,4878497.399074631
0010_0011,19,data\processed\frames_0010_0011_1fps\frame_000019.jpg,0006,18464,data\processed\frames_0006_1fps\frame_000617.jpg,0.5002578496932983,10,4878250.133328845,0.0,0.0,32.10746959314667,35.211538814071986,4878507.880358704
0010_0011,20,data\processed\frames_0010_0011_1fps\frame_000020.jpg,0006,8214,data\processed\frames_0006_1fps\frame_000275.jpg,0.504437267780304,10,4878250.133328845,0.0,0.0,32.10553810815075,35.21382975759881,4878497.399074631
0010_0011,21,data\processed\frames_0010_0011_1fps\frame_000021.jpg,0006,8214,data\processed\frames_0006_1fps\frame_000275.jpg,0.5149577260017395,10,4878250.133328845,0.0,0.0,32.10553810815075,35.21382975759881,4878497.399074631
0010_0011,22,data\processed\frames_0010_0011_1fps\frame_000022.jpg,0006,8214,data\processed\frames_0006_1fps\frame_000275.jpg,0.5068444013595581,10,4878469.681354831,0.0,0.0,32.10553810815075,35.21382975759881,4878497.399074631
0010_0011,23,data\processed\frames_0010_0011_1fps\frame_000023.jpg,0006,8214,data\processed\frames_0006_1fps\frame_000275.jpg,0.47947365045547485,10,4878250.133328845,0.0,0.0,32.10553810815075,35.21382975759881,4878497.399074631
0010_0011,24,data\processed\frames_0010_0011_1fps\frame_000024.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.5222888588905334,10,4878234.540486184,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,25,data\processed\frames_0010_0011_1fps\frame_000025.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.5432320833206177,10,4878234.540486184,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,26,data\processed\frames_0010_0011_1fps\frame_000026.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.5546531677246094,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,27,data\processed\frames_0010_0011_1fps\frame_000027.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.5777323246002197,10,4878195.6331870975,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,28,data\processed\frames_0010_0011_1fps\frame_000028.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.6443305015563965,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,29,data\processed\frames_0010_0011_1fps\frame_000029.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.6958796381950378,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,30,data\processed\frames_0010_0011_1fps\frame_000030.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.7154301404953003,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,31,data\processed\frames_0010_0011_1fps\frame_000031.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.7234491109848022,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,32,data\processed\frames_0010_0011_1fps\frame_000032.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.7241278290748596,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,33,data\processed\frames_0010_0011_1fps\frame_000033.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.7273372411727905,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,34,data\processed\frames_0010_0011_1fps\frame_000034.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.7288585901260376,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,35,data\processed\frames_0010_0011_1fps\frame_000035.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.7304222583770752,10,4878219.143147646,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
0010_0011,36,data\processed\frames_0010_0011_1fps\frame_000036.jpg,0008,12650,data\processed\frames_0008_1fps\frame_000423.jpg,0.735988974571228,10,4878195.6331870975,0.0,0.0,32.10370885252225,35.21230159528786,4878250.133328845
